iter	Logloss
0	0.6876169195
1	0.6835344771
2	0.6794644566
3	0.6747503552
4	0.6708198368
5	0.6661181702
6	0.6615236543
7	0.6575124607
8	0.6527974266
9	0.6486029391
10	0.6444077146
11	0.6394452316
12	0.6354887102
13	0.6312944687
14	0.6270036615
15	0.6229341491
16	0.6186731271
17	0.6149002154
18	0.6115917443
19	0.6071814139
20	0.6026272481
21	0.5992689638
22	0.5962445567
23	0.5935397263
24	0.5899092371
25	0.5860971734
26	0.5834855691
27	0.5804870006
28	0.5766292748
29	0.574078517
30	0.5706564819
31	0.5682060424
32	0.5646395657
33	0.5621169755
34	0.5590900718
35	0.5568046562
36	0.5536351496
37	0.5510832823
38	0.5488716827
39	0.5452601243
40	0.5422685869
41	0.5393628858
42	0.5366298602
43	0.5332130197
44	0.530379428
45	0.5270008867
46	0.5249794543
47	0.5227714066
48	0.5207124638
49	0.5183039138
50	0.5161944245
51	0.5135258921
52	0.5103232404
53	0.5078881946
54	0.5050344654
55	0.5025196885
56	0.5002756693
57	0.4981920059
58	0.4965352341
59	0.4945643296
60	0.4923460554
61	0.4903514664
62	0.4880705299
63	0.48599322
64	0.4834843316
65	0.4809087904
66	0.4793850337
67	0.4772636461
68	0.474551034
69	0.4717260292
70	0.4695140236
71	0.4673898364
72	0.4653992465
73	0.463762481
74	0.4613133004
75	0.4589966015
76	0.4564983164
77	0.4546943916
78	0.4525343189
79	0.4512382878
80	0.4491138436
81	0.4476817278
82	0.4453209836
83	0.443834718
84	0.4423645556
85	0.4409832016
86	0.4393830412
87	0.4381650511
88	0.4364884828
89	0.4350093531
90	0.4329862629
91	0.4312094679
92	0.4296644694
93	0.4281083151
94	0.4266776116
95	0.4247735306
96	0.4231836306
97	0.4213227727
98	0.4195092195
99	0.4176949727
100	0.4165732208
101	0.414965063
102	0.4131899617
103	0.4114708279
104	0.4099825012
105	0.409083356
106	0.4078179381
107	0.406684777
108	0.4053187094
109	0.4044930665
110	0.4024580403
111	0.4005120441
112	0.3991710387
113	0.3976924397
114	0.3963700225
115	0.395578039
116	0.3938807654
117	0.3931126215
118	0.3918967614
119	0.3903869773
120	0.3890418934
121	0.3875379104
122	0.3863303119
123	0.3851595866
124	0.3836833016
125	0.3825863405
126	0.3812454189
127	0.3794902535
128	0.3785103955
129	0.3767939179
130	0.3757684959
131	0.3747241701
132	0.3734423854
133	0.3719732209
134	0.3707534552
135	0.3696586305
136	0.3685283435
137	0.3678231139
138	0.3668551213
139	0.3659259084
140	0.3647709159
141	0.363613891
142	0.3629443156
143	0.3620994424
144	0.3614267026
145	0.3605157821
146	0.3594590943
147	0.3589290048
148	0.3581053994
149	0.3572727558
150	0.356499031
151	0.3557116101
152	0.3547563722
153	0.3538431143
154	0.3530617821
155	0.351823505
156	0.3509261953
157	0.3496891379
158	0.3488359301
159	0.3478612404
160	0.3467241915
161	0.3456260455
162	0.3447437487
163	0.3439677
164	0.3429386013
165	0.3419537287
166	0.3412652449
167	0.3400526348
168	0.3389605917
169	0.3382437549
170	0.3374055906
171	0.3367168414
172	0.3359871218
173	0.3347742319
174	0.3338525954
175	0.3331635343
176	0.3324913564
177	0.3319277042
178	0.3305734314
179	0.3296538014
180	0.329015447
181	0.3281037996
182	0.327786701
183	0.3270609404
184	0.3262233722
185	0.3252496255
186	0.3244490373
187	0.323477346
188	0.3223140823
189	0.3218327892
190	0.3208304493
191	0.319884415
192	0.3192171022
193	0.3182714262
194	0.3171395484
195	0.3162168798
196	0.3157601244
197	0.314937195
198	0.3140435068
199	0.31298195
200	0.3124445206
201	0.3118653919
202	0.3113429728
203	0.3106670085
204	0.3098739718
205	0.3092510167
206	0.3085980378
207	0.3078628383
208	0.3072265374
209	0.3064457442
210	0.3057065186
211	0.3048803003
212	0.3044531772
213	0.3038152544
214	0.3029682636
215	0.3024640472
216	0.3017287323
217	0.3008523226
218	0.3001476256
219	0.29979868
220	0.2991791957
221	0.2986192992
222	0.2977860884
223	0.2969690122
224	0.2965718495
225	0.2959450784
226	0.2949930279
227	0.2942848689
228	0.2936681126
229	0.2931754922
230	0.2928370269
231	0.2919983262
232	0.2914014666
233	0.2907749609
234	0.2904172038
235	0.2897107237
236	0.2890951219
237	0.2886105519
238	0.2879383878
239	0.2873743954
240	0.286639137
241	0.2860094453
242	0.2857395806
243	0.2854701463
244	0.2850025014
245	0.2843881287
246	0.2839494705
247	0.2834534827
248	0.2829045766
249	0.282275715
250	0.2816992854
251	0.2807947736
252	0.2802016741
253	0.2797869306
254	0.2791097566
255	0.2788486989
256	0.2782054468
257	0.2775934922
258	0.2770462318
259	0.2768374569
260	0.2761933986
261	0.2757100181
262	0.2750613401
263	0.2744332163
264	0.2738495783
265	0.2735457119
266	0.2729110812
267	0.2724098927
268	0.2719710093
269	0.2714773881
270	0.2710986043
271	0.2707170731
272	0.2703420783
273	0.2700330621
274	0.2695124946
275	0.2688510537
276	0.2684731628
277	0.2678396972
278	0.2672933189
279	0.2668315448
280	0.2665071795
281	0.2660056804
282	0.2656337895
283	0.2653071862
284	0.2650509452
285	0.2646539469
286	0.264254703
287	0.2638423543
288	0.2636239416
289	0.2634067165
290	0.2629708566
291	0.2626303736
292	0.2624243799
293	0.2620179408
294	0.2615500921
295	0.26114805
296	0.2606451982
297	0.2600983482
298	0.2598207932
299	0.2592684231
300	0.2588656789
301	0.2583081164
302	0.2577723654
303	0.2573226496
304	0.2570496942
305	0.2565389916
306	0.2561947421
307	0.2557582698
308	0.2553593265
309	0.255158223
310	0.2545783909
311	0.2542928903
312	0.2538817462
313	0.2535188775
314	0.2530593521
315	0.2528145081
316	0.2525971758
317	0.2521839782
318	0.251643157
319	0.2514323467
320	0.2511835192
321	0.250815859
322	0.2505103124
323	0.2501869478
324	0.2496104504
325	0.2492693594
326	0.2489123558
327	0.2485243628
328	0.2480685642
329	0.2477939342
330	0.2472770289
331	0.2469410733
332	0.2464323615
333	0.2461165704
334	0.2459276168
335	0.2458180453
336	0.2454847279
337	0.2450678838
338	0.2445303591
339	0.2442151961
340	0.2440318039
341	0.2437398195
342	0.2433931947
343	0.2431618816
344	0.2428205038
345	0.2426450353
346	0.2422671807
347	0.24185074
348	0.2416147966
349	0.2411987022
350	0.2409542981
351	0.2405533653
352	0.2401435011
353	0.2397066675
354	0.2393157733
355	0.2391121456
356	0.2386955575
357	0.2384508522
358	0.2380575117
359	0.2378410277
360	0.2374595065
361	0.2370931594
362	0.2368314304
363	0.2365307908
364	0.236084017
365	0.2356338175
366	0.2353058319
367	0.234971549
368	0.2347463852
369	0.2344785427
370	0.2343104915
371	0.2341046384
372	0.2338446071
373	0.2335852065
374	0.2332023746
375	0.2329007739
376	0.2327598377
377	0.2325465077
378	0.2322964593
379	0.2320679715
380	0.2316989378
381	0.2313877821
382	0.2312114797
383	0.2309302098
384	0.2307316962
385	0.2305427388
386	0.2303351496
387	0.2300904337
388	0.2297315083
